"","link","titulo","preco","cidade","bairro","adicional","tem_quarto","tem_area","tem_taxa","tem_garagem","qtd_quarto","taxa_condominio","area_condominio","garagem"
"963","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-85-m-por-r-570-000-00-icarai-niteroi-rj-698485915","Apartamento com 2 dormitórios à venda, 85 m² por R$ 570.000,00 - Icaraí - Niterói/RJ",570000,"Niterói"," Icaraí","2 quarto | 85m² | Condomínio: RS 925 | 1 vaga",TRUE,TRUE,TRUE,TRUE,2,925,85,1
"964","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-135-m-por-r-750-000-00-icarai-niteroi-rj-639465933","Apartamento com 3 dormitórios à venda, 135 m² por R$ 750.000,00 - Icaraí - Niterói/RJ",750000,"Niterói"," Icaraí","3 quarto | 135m² | Condomínio: RS 806 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,806,135,1
"965","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-apartamento-no-jardim-icarai-717397063","Excelente apartamento no Jardim Icaraí",450000,"Niterói"," Icaraí","2 quarto | 75m² | Condomínio: RS 856",TRUE,TRUE,TRUE,FALSE,2,856,75,0
"966","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-100-m-por-r-360-000-00-icarai-niteroi-rj-739092487","Apartamento à venda, 100 m² por R$ 360.000,00 - Icaraí - Niterói/RJ",360000,"Niterói"," Icaraí","2 quarto | 100m² | Condomínio: RS 250",TRUE,TRUE,TRUE,FALSE,2,250,100,0
"967","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-83-m-por-r-450-000-00-icarai-niteroi-rj-768404176","Apartamento com 3 dormitórios à venda, 83 m² por R$ 450.000,00 - Icaraí - Niterói/RJ",450000,"Niterói"," Icaraí","3 quarto | 83m² | Condomínio: RS 627",TRUE,TRUE,TRUE,FALSE,3,627,83,0
"968","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-78-m-por-r-450-000-icarai-niteroi-rj-668427973","Apartamento com 3 dormitórios à venda, 78 m² por R$ 450.000 - Icaraí - Niterói/RJ",450000,"Niterói"," Icaraí","3 quarto | 78m² | Condomínio: RS 650",TRUE,TRUE,TRUE,FALSE,3,650,78,0
"969","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-103-m-por-r-950-000-00-icarai-niteroi-rj-739092820","Apartamento à venda, 103 m² por R$ 950.000,00 - Icaraí - Niterói/RJ",950000,"Niterói"," Icaraí","3 quarto | 103m² | Condomínio: RS 800 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,800,103,2
"970","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-130-m-por-r-1-300-000-00-jardim-icarai-nitero-656986234","Apartamento com 3 dormitórios à venda, 130 m² por R$ 1.300.000,00 - Jardim Icaraí - Niteró",1300000,"Niterói"," Icaraí","3 quarto | 130m² | Condomínio: RS 916 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,916,130,2
"971","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vendo-na-planta-connect-icarai-sala-3-quartos-varanda-gormet-1-vaga-757522923","Vendo na Planta Connect Icaraí sala 3 quartos, varanda gormet 1 vaga",854000,"Niterói"," Icaraí","3 quarto | 107m² | 1 vaga",TRUE,TRUE,FALSE,TRUE,3,NA,107,1
"972","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/praia-frente-mar-juntinho-r-miguel-de-frias-744624763","PRAIA FRENTE MAR juntinho R. Miguel de Frias)",1050000,"Niterói"," Icaraí","3 quarto | 110m² | Condomínio: RS 1.250 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,1250,110,1
"973","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/jo543v-apartamento-2-quartos-1-suite-em-icarai-1-qd-praia-683465840","JO543V - Apartamento 2 quartos(1 suíte) em Icaraí 1ª qd Praia",550000,"Niterói"," Icaraí","2 quarto | 90m² | Condomínio: RS 800 | 1 vaga",TRUE,TRUE,TRUE,TRUE,2,800,90,1
"974","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-1447-522064467","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod:1447",9e+05,"Niterói"," Icaraí","3 quarto | 106m² | Condomínio: RS 770 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,770,106,1
"975","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-851066-608463299","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod:851066",540000,"Niterói"," Icaraí","3 quarto | 100m² | Condomínio: RS 622 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,622,100,1
